Instance,Heuristic,Plan Length,Plan Cost,States Expanded,States Reopened,States Evaluated,Evaluations,States Generated,Dead Ends,States Expanded ULJ,States Reopened ULJ,States Evaluated ULJ,States Generated ULJ,Registered States,Hash Set Load Factor,Hash Set Resizes,Search Time (s),Total Time (s),Peak Memory (KB)
1,Additive,10,10,11,0,53,53,65,0,0,0,1,0,53,0.828125,6,0.00287661,0.00880906,56128
1,Causal Graph,11,11,69,2,158,158,422,0,60,2,138,372,158,0.617188,8,0.0037831,0.0254721,57296
10,Additive,25,25,2747,0,16085,16085,41787,0,0,0,1,0,16085,0.490875,15,1.03822,1.05524,57716
11,Additive,61,61,37128,6223,141459,141459,573620,0,10,0,84,140,141459,0.539623,18,20.8046,20.8347,65628
12,Additive, , , , , , , , , , , , , , , , , , 
13,Additive,25,25,61,0,689,689,949,0,0,0,1,0,689,0.672852,10,0.0824991,0.111806,57156
14,Additive, , , , , , , , , , , , , , , , , , 
15,Additive, , , , , , , , , , , , , , , , , , 
16,Additive,30,30,66113,20,647039,647039,1799661,0,32,0,534,674,647039,0.617064,20,58.5097,58.535,88120
17,Additive,24,24,1999,0,31332,31332,55448,0,0,0,1,0,31332,0.478088,16,6.30582,6.34991,60536
18,Additive, , , , , , , , , , , , , , , , , , 
19,Additive,40,40,326295,5040,3325066,3325066,11604036,0,0,0,1,0,3325066,0.792758,22,517.851,517.885,222900
2,Additive,16,16,19,0,108,108,138,0,0,0,1,0,108,0.84375,7,0.00656547,0.0206831,56268
2,Causal Graph,15,15,67,0,281,281,491,0,32,0,111,224,281,0.548828,9,0.00830739,0.0311344,69844
20,Additive, , , , , , , , , , , , , , , , , , 
21,Additive,33,33,3493,0,226486,226486,281324,0,0,0,1,0,226486,0.431988,19,118.836,118.978,79204
22,Additive, , , , , , , , , , , , , , , , , , 
3,Additive,32,32,127,0,630,630,1059,0,4,0,21,28,630,0.615234,10,0.0299408,0.0386746,56524
3,Causal Graph,29,29,3771,36,12933,12933,32507,0,1454,6,5307,12476,12933,0.789368,14,0.238934,0.273318,70136
4,Additive,40,40,17647,2709,42320,42320,153237,0,16296,2687,37576,141586,42320,0.645752,16,2.03415,2.04722,58672
5,Additive,58,58,4976,747,18104,18104,45890,0,7,0,30,49,18104,0.55249,15,1.3654,1.38042,58036
6,Additive, , , , , , , , , , , , , , , , , , 
7,Additive,22,22,3108,312,9221,9221,27601,0,162,2,717,1389,9221,0.562805,14,0.392709,0.415076,56960
8,Additive,36,36,40295,2755,217664,217664,471149,0,4832,843,21232,52188,217664,0.830322,18,17.032,17.0509,66732
9,Additive,61,61,3641877,2019062,9398354,9398354,43917853,0,832,228,3814,8904,9398354,0.560186,24,1660.57,1660.61,634600
